name,incl,q,r1,r2,ecc,T2/T1,R2
LC-3PQ8,84.00580015,0.110462658,0.378144817,0.167158127,0.028307773,0.71234056,0.9996
LC-3PVI,86.622519,0.557820429,0.284382971,0.141323108,0.005919676,0.694474608,0.9995
LC-3QSX,75.91692843,0.238773087,0.380503448,0.095958071,0.137866967,0.763037934,0.9986
LC-5CQW,89.86294884,0.004470293,0.454045995,0.09134122,0.059747761,0.851681827,0.9972
LC-5ET1,85.85878596,0.306365567,0.288374856,0.154917945,0.023242635,0.658365994,0.9992
LC-5J8A,83.14781301,0.021283155,0.325787117,0.151812306,0.063932246,0.865334663,0.9993
LC-5JV2,86.55667523,0.189518925,0.280116569,0.147680023,0.030827043,0.706195126,0.9997
LC-5N2P,83.72161338,0.417227174,0.31007831,0.130908648,0.02550899,0.822034077,0.9993
LC-5PWI,82.73777956,0.109524438,0.294005808,0.123560992,0.058864128,1.12435026,0.9995
LC-5RLW,85.01544213,0.706754115,0.26353592,0.121078076,0.061953661,0.537044578,0.9994
LC-62K8,86.01853885,0.38210873,0.390510885,0.208533906,0.031486248,0.543689924,0.9998
LC-6AFT,83.45613399,0.698342394,0.277873258,0.069853498,0.135603328,0.595192177,0.9991
LC-6CVI,88.50695803,0.38586435,0.350770332,0.213593802,0.109538864,0.883666157,0.9995
LC-6KIG,76.35910115,0.044519794,0.579763885,0.091508462,0.158925273,0.885223878,0.9966
LC-6NB9,84.18463942,0.657820123,0.260754316,0.086733022,0.100586644,0.9086467,0.9988
LC-6YQA,82.45928568,0.511373761,0.274200311,0.040468339,0.067667874,0.773735416,0.9973
LC-70EZ,89.2763509,0.476463533,0.220603398,0.059030456,0.054438448,0.607257828,0.9981
LC-74H0,82.60119739,0.577807078,0.276360473,0.108248963,0.044180877,0.706892836,0.9993
LC-7BRU,83.44683092,0.310092893,0.204991023,0.074150129,0.077606045,0.592973865,0.9988
LC-3WXU,85.01278214,0.833588063,0.034425458,0.142042703,0.026462258,0.544078163,0.9997
LC-45FL,82.65127281,0.730357393,0.364096866,0.116727797,0.079440768,1.062299274,0.9995
LC-4B4L,80.02886122,0.308843978,0.394249018,0.18277427,0.00459373,0.767634975,0.9996
LC-4I1D,87.63393492,0.466389323,0.368738871,0.184207606,0.090753838,0.684201032,0.9997
LC-4O9P,75.98869022,0.065498701,0.532412908,0.169232345,0.020217642,0.973375253,0.9991
