Name,T1,T2,incl,inclerror,q,qerror,r1,r2,R2
TIC 7791094,5172,4052,79.485,2.779,0.174,0.017,0.533,0.241,0.995
TIC 85585153,7014,4338,65.820,0.861,0.225,0.018,0.507,0.259,0.972
TIC 85994049,6625,4319,72.663,3.296,0.104,0.043,0.437,0.208,0.983
TIC 87168117,4171,3652,78.494,1.627,0.577,0.101,0.421,0.333,0.943
TIC 876057187,6502,4830,73.949,4.553,0.458,0.214,0.399,0.314,0.632
TIC 88441209,6571,5334,62.865,1.613,0.719,0.162,0.406,0.351,0.969
TIC 89543393,7320,5249,70.395,1.091,0.303,0.036,0.473,0.281,0.999
TIC 89761288,6235,5177,89.918,0.096,0.599,0.001,0.181,0.336,0.965
TIC 91037997,8059,5313,72.287,0.662,0.565,0.053,0.397,0.331,0.988
TIC 92234970,5714,4883,77.423,0.456,0.516,0.038,0.332,0.323,0.983
TIC 94327030,8078,6996,77.995,0.760,0.603,0.083,0.403,0.336,0.997
TIC 9588485,8897,6938,77.750,1.496,0.338,0.176,0.316,0.289,0.995
TIC 99465976,6937,4872,74.613,0.508,0.470,0.057,0.342,0.316,0.994
TIC 99646802,6415,5617,58.654,0.519,0.293,0.037,0.482,0.278,0.998
TIC 99784331,6836,4757,60.739,1.028,0.181,0.329,0.487,0.244,0.996
TIC 219859691,6518,5810,63.452,0.929,0.158,0.128,0.480,0.234,0.994
TIC 260131665,9567,8793,71.411,1.925,0.071,0.037,0.416,0.185,0.997
TIC 338104678,4988,4347,69.770,2.120,0.033,0.020,0.421,0.148,0.963
TIC 9825731,7274,5010,69.618,1.909,0.282,0.163,0.489,0.276,0.994
TIC 15613315,6852,5992,78.993,0.231,0.089,0.001,0.442,0.199,0.991
TIC 456263109,9222,6465,75.184,2.494,0.247,0.156,0.360,0.266,0.999
TIC 394277816,6131,4218,77.954,0.378,0.139,0.021,0.411,0.226,0.996
