name,T1,T2,incl,inclerror,q,qerror,r1,r1error,r2,r2error,ecc,eccerror,f1,f2,R2
TIC 407064902,6690,3775,77.821,0.955,0.146,0.038,0.332,0.011,0.08,0.003,0.005,0.002,0.606,0.345,0.983
TIC 410245402,5741,3665,87.287,0.397,0.129,0.042,0.143,0.003,0.059,0.001,0.003,0.002,0.257,0.265,0.998
TIC 421718004,5101,3245,86.75,0.314,0.388,0.029,0.136,0.008,0.274,0.004,0,0.001,0.295,0.912,0.997
TIC 422246362,6566,3423,85.62,0.201,0.176,0.057,0.15,0.002,0.045,0.001,0.01,0.013,0.281,0.187,0.997
TIC 42244951,8505,6868,83.801,0.289,0.277,0.029,0.298,0.002,0.105,0.001,0,0,0.605,0.383,0.99
TIC 426452320,5095,3700,85.039,0.488,0.378,0.023,0.219,0.004,0.077,0.002,0.001,0.001,0.47,0.257,0.994
TIC 428987718,5330,4231,83.985,1.125,0.279,0.093,0.264,0.01,0.128,0.007,0.005,0.002,0.537,0.463,0.994
TIC 429864788,6370,5951,82.486,1.104,0.445,0.021,0.373,0.006,0.116,0.002,0.006,0.001,0.829,0.371,0.998
TIC 434380323,7434,5496,84.611,3.328,0.245,0.116,0.225,0.011,0.104,0.021,0.003,0.002,0.447,0.392,0.994
TIC 437241830,6432,4053,85.29,1.253,0.409,0.038,0.331,0.007,0.138,0.003,0.001,0.001,0.722,0.452,0.982
TIC 439698710,5474,3532,82.554,2.69,0.221,0.058,0.31,0.024,0.111,0.012,0.003,0.001,0.605,0.428,0.99
TIC 441224398,5768,4570,80.8,1.243,0.29,0.03,0.256,0.013,0.082,0.004,0,0,0.523,0.294,0.982
TIC 442567883,5341,3501,84.326,0.23,0.337,0.023,0.292,0.004,0.147,0.001,0.001,0.002,0.614,0.508,0.989
TIC 444833007,9298,5292,82.309,3.096,0.101,0.031,0.26,0.026,0.049,0.006,0.002,0.001,0.45,0.237,0.984
TIC 44550552,5560,4244,87.385,1.423,0.417,0.161,0.137,0.009,0.059,0.004,0.002,0.002,0.301,0.193,0.988
TIC 446195182,6428,5089,79.29,2.531,0.332,0.036,0.364,0.018,0.113,0.009,0.001,0.002,0.765,0.392,0.991
TIC 446544372,5962,5661,82.538,0.777,0.27,0.153,0.23,0.008,0.093,0.004,0.002,0.001,0.465,0.341,0.994
TIC 446550991,6184,4283,89.494,0.351,0.664,0.229,0.192,0.005,0.115,0.001,0.007,0.002,0.463,0.335,0.996
TIC 450089997,6428,5577,81.107,2.517,0.432,0.15,0.36,0.028,0.11,0.012,0.007,0.01,0.794,0.356,0.984
TIC 45309092,4912,3971,83.221,4.612,0.43,0.112,0.374,0.022,0.169,0.015,0.004,0.002,0.826,0.547,0.98
TIC 458993947,6527,3936,86.01,1.897,0.245,0.059,0.104,0.012,0.262,0.015,0.001,0,0.206,0.984,0.989
TIC 46106659,5998,4841,83.442,1.057,0.562,0.043,0.361,0.006,0.103,0.002,0.002,0.002,0.839,0.313,0.997
TIC 46379347,7095,4074,83.606,4.848,0.261,0.077,0.236,0.04,0.055,0.016,0.005,0.002,0.474,0.202,0.986
TIC 464283590,6124,3457,83.396,1.623,0.164,0.083,0.233,0.018,0.069,0.005,0.008,0.002,0.434,0.288,0.982
TIC 46776945,8215,6353,85.279,2.105,0.043,0.028,0.27,0.016,0.141,0.008,0.002,0.002,0.421,0.881,0.983
TIC 467832488,5767,3519,82.902,1.289,0.265,0.034,0.261,0.01,0.065,0.003,0.015,0.01,0.527,0.24,0.985
TIC 47066441,6047,3557,80.693,0.292,0.312,0.021,0.27,0.003,0.09,0.001,0.006,0.006,0.561,0.318,0.985
TIC 470984698,8977,4195,82.743,0.659,0.005,0.022,0.2,0.006,0.04,0.001,0.005,0.001,0.268,0.488,0.979
TIC 53729665,5175,4067,87.485,0.746,0.087,0.147,0.251,0.051,0.174,0.014,0.003,0.001,0.425,0.879,0.985
TIC 53963396,5122,3470,87.995,1.284,0.189,0.09,0.196,0.004,0.068,0.002,0.003,0.002,0.372,0.275,0.979
TIC 54856658,8652,7684,84.339,0.719,0.288,0.052,0.294,0.005,0.136,0.003,0.001,0.001,0.601,0.488,0.996
TIC 59354634,8867,6623,84.801,0.582,0.066,0.039,0.219,0.003,0.093,0.002,0,0.001,0.359,0.51,0.979
TIC 5981829,5938,4023,80.174,1.653,0.415,0.067,0.308,0.016,0.087,0.006,0.003,0.006,0.674,0.285,0.988
TIC 63006634,6346,5693,84.361,1.12,0.568,0.029,0.318,0.005,0.123,0.002,0.003,0.002,0.741,0.371,0.99
TIC 63785934,6201,3862,81.886,0.732,0.339,0.025,0.267,0.005,0.087,0.002,0.002,0.001,0.563,0.3,0.99
TIC 63818344,7069,4259,84.379,0.49,0.447,0.021,0.275,0.003,0.09,0.001,0.003,0.006,0.611,0.288,0.988
TIC 65323122,6404,3928,87.952,1.855,0.447,0.095,0.207,0.006,0.09,0.003,0.004,0.001,0.459,0.288,0.992
TIC 65448527,8662,6660,77.935,2.997,0.084,0.072,0.421,0.022,0.125,0.009,0.01,0.025,0.711,0.636,0.964
TIC 66493199,5098,3451,81.807,1.495,0.173,0.077,0.31,0.012,0.131,0.011,0.006,0.001,0.581,0.542,0.947
TIC 67515742,6370,5628,84.487,2.578,0.53,0.113,0.368,0.007,0.213,0.017,0.001,0.001,0.845,0.656,0.996
TIC 67949277,8119,3645,80.815,1.013,0.157,0.023,0.287,0.011,0.055,0.002,0.002,0.001,0.531,0.232,0.987
TIC 68032870,8366,5105,85.229,0.729,0.3,0.083,0.325,0.003,0.214,0.002,0.004,0.002,0.67,0.763,0.994
TIC 68756251,6738,5222,87.192,0.47,0.019,0.016,0.186,0.004,0.096,0.002,0.001,0.002,0.269,0.77,0.999
TIC 7211118,6323,4414,87.062,0.764,0.458,0.123,0.232,0.006,0.116,0.004,0.001,0.001,0.517,0.371,0.997
TIC 74528791,9058,7701,88.446,1.96,0.256,0.058,0.213,0.002,0.164,0.016,0.091,0.002,0.427,0.609,0.997
TIC 78692215,5397,4127,88.225,0.984,0.128,0.039,0.136,0.004,0.089,0.006,0.004,0.001,0.243,0.4,0.992
TIC 79403459,5004,4221,78.019,0.846,0.284,0.061,0.363,0.006,0.172,0.007,0.005,0.001,0.74,0.621,0.994
TIC 80650858,8868,6161,88.196,0.583,0.411,0.069,0.208,0.002,0.116,0.003,0.003,0.001,0.454,0.381,0.997
TIC 81702112,7045,5142,86.854,0.168,0.414,0.067,0.114,0.002,0.055,0.001,0.023,0.001,0.25,0.182,0.978
TIC 82459094,6811,4415,84.941,1.022,0.149,0.037,0.174,0.011,0.061,0.004,0.025,0.003,0.319,0.264,0.984
TIC 8624617,5701,4089,85.579,0.279,0.39,0.026,0.148,0.006,0.298,0.004,0.003,0.004,0.32,0.988,0.989
TIC 90349611,8013,7718,86.375,0.537,0.116,0.037,0.286,0.001,0.179,0.001,0,0,0.506,0.831,0.971
TIC 91638523,6184,3784,83.026,0.925,0.243,0.035,0.2,0.022,0.061,0.001,0.006,0.001,0.398,0.228,0.997
TIC 92902951,9183,5079,88.274,1.485,0.507,0.054,0.215,0.005,0.312,0.004,0.002,0.002,0.489,0.969,0.995
TIC 94229743,4887,3090,83.169,0.575,0.295,0.01,0.068,0.01,0.201,0.006,0.003,0.002,0.139,0.719,0.995
TIC 97486660,6126,5422,89.835,0.163,0.189,0.057,0.149,0.001,0.084,0.001,0,0,0.283,0.34,0.998
TIC 97807414,6964,5568,80.217,1.289,0.476,0.057,0.362,0.012,0.12,0.005,0.009,0.002,0.814,0.378,0.996
TIC 97919621,6121,3939,82.902,2.183,0.488,0.048,0.246,0.008,0.103,0.013,0.003,0.002,0.557,0.323,0.996
TIC 98974882,6369,3632,89.087,0.733,0.498,0.137,0.152,0.012,0.065,0.011,0.004,0.002,0.346,0.201,0.987
