name,T1,T2,incl,inclerror,q,qerror,r1,r1error,r2,r2error,ecc,eccerror,f1,f2,R2
TIC 286380389,6776,4336,84.455,0.236,0.382,0.034,0.254,0.004,0.111,0.002,0.002,0.001,0.548,0.371,0.991
TIC 287669537,7286,3853,84.739,0.757,0.429,0.027,0.283,0.004,0.096,0.002,0.007,0.001,0.624,0.31,0.996
TIC 288502074,6644,5010,84.263,2.573,0.689,0.075,0.183,0.011,0.339,0.006,0.002,0.003,0.445,0.978,0.997
TIC 288502078,7079,5217,85.18,0.591,0.704,0.039,0.333,0.003,0.163,0.002,0.002,0.002,0.812,0.466,0.998
TIC 288882010,6328,4619,85.537,0.34,0.354,0.164,0.2,0.004,0.074,0.002,0,0,0.425,0.253,0.997
TIC 28942187,6976,4417,82.528,2.242,0.487,0.108,0.287,0.027,0.087,0.009,0.004,0.015,0.648,0.274,0.972
TIC 289564387,6323,3396,81.162,3.711,0.332,0.107,0.283,0.035,0.077,0.017,0.004,0.001,0.593,0.267,0.995
TIC 291145873,9096,5395,84.865,1.654,0.027,0.026,0.207,0.016,0.072,0.006,0.021,0.006,0.309,0.518,0.994
TIC 294059372,6842,4234,73.313,0.529,0.066,0.007,0.414,0.008,0.105,0.002,0.004,0.002,0.68,0.571,0.996
TIC 294206429,9345,6524,84.98,1.683,0.173,0.14,0.389,0.005,0.18,0.003,0.003,0,0.73,0.744,0.989
TIC 294930324,4676,4584,82.46,0.378,0.493,0.051,0.303,0.004,0.119,0.002,0,0.001,0.688,0.373,0.985
TIC 29778064,5347,3636,84.546,0.964,0.385,0.045,0.361,0.004,0.151,0.003,0.007,0.001,0.78,0.503,0.996
TIC 298337041,6980,4698,75.122,1.643,0.198,0.006,0.411,0.012,0.12,0.003,0.007,0.003,0.789,0.48,0.988
TIC 298415054,6593,3639,79.257,0.877,0.176,0.011,0.406,0.007,0.089,0.002,0.001,0.001,0.764,0.368,0.989
TIC 298421458,5824,4123,85.447,1.358,0.557,0.034,0.289,0.009,0.135,0.004,0.004,0.004,0.671,0.409,0.99
TIC 300012172,7111,5278,84.696,1.001,0.588,0.026,0.345,0.005,0.14,0.002,0.003,0.001,0.81,0.419,0.996
TIC 309828087,5938,3171,81.97,1.234,0.099,0.02,0.2,0.001,0.067,0.01,0.008,0.003,0.346,0.327,0.972
TIC 311070085,6336,3378,81.175,2.323,0.319,0.044,0.245,0.01,0.049,0.019,0.005,0.001,0.511,0.173,0.995
TIC 311268497,8275,5759,85.705,1.199,0.037,0.006,0.203,0.021,0.112,0.01,0.008,0.001,0.313,0.73,0.975
TIC 312865025,7167,7307,89.659,1.181,0.121,0.055,0.213,0.004,0.163,0.003,0,0,0.378,0.745,0.985
TIC 313027310,6147,4237,84.114,0.751,0.371,0.014,0.274,0.005,0.092,0.002,0.004,0.002,0.588,0.309,0.984
TIC 316769815,6450,3554,75.619,1.475,0.052,0.011,0.346,0.016,0.049,0.004,0.002,0.001,0.551,0.286,0.985
TIC 320524167,6428,4599,83.07,0.675,0.005,0.001,0.207,0.007,0.072,0.003,0.001,0.001,0.276,0.902,0.992
TIC 320539989,8829,4604,86.91,1.22,0.248,0.043,0.239,0.004,0.095,0.002,0.003,0.002,0.477,0.355,0.993
TIC 321981878,5515,3492,88.568,0.462,0.185,0.019,0.219,0.002,0.11,0.001,0.005,0.001,0.415,0.448,0.994
TIC 324936149,5789,5979,86.723,1.252,0.089,0.072,0.155,0.009,0.061,0.004,0,0,0.263,0.304,0.993
TIC 327785134,5700,4495,83.526,3.357,0.048,0.014,0.21,0.034,0.084,0.028,0.001,0.001,0.332,0.503,0.993
TIC 332210059,5135,3163,85.908,0.705,0.173,0.038,0.25,0.006,0.09,0.003,0.004,0.002,0.468,0.371,0.988
