name,T1,T2,incl,inclerror,q,qerror,r1,r1error,r2,r2error,f1,f2,R2
TIC 5981829,5938,4069,80.2927,0.2318,0.4159,0.0091,0.3062,0.0019,0.086,0.0007,0.671,0.2811,0.9993
TIC 63006634,6346,5705,86.2901,1.2075,0.7259,0.0391,0.3055,0.0044,0.1174,0.002,0.7508,0.3338,0.9982
TIC 63818344,7068,4192,84.1452,0.2138,0.4494,0.0092,0.2759,0.0017,0.0904,0.0007,0.6138,0.2895,0.9995
TIC 65323122,6404,3944,85.6755,0.502,0.2885,0.0466,0.2186,0.003,0.0967,0.0011,0.4472,0.3477,0.9973
TIC 65448527,8661,7094,89.1612,1.0105,0.0582,0.0156,0.3705,0.0032,0.1129,0.0016,0.5986,0.6407,0.9909
TIC 66493199,5098,3456,81.4937,0.1624,0.1267,0.0133,0.311,0.0016,0.1324,0.0009,0.5562,0.5978,0.9981
TIC 67515742,6369,5687,85.93,0.2271,0.7236,0.016,0.3589,0.0012,0.2025,0.0009,0.8813,0.5766,0.9999
TIC 67807856,6364,4884,83.5796,0.2562,0.3054,0.0114,0.2633,0.0021,0.0686,0.0007,0.5443,0.243,0.9988
TIC 67949277,8119,3665,81.8857,0.5359,0.1996,0.0136,0.2804,0.0042,0.052,0.001,0.5383,0.2065,0.9985
TIC 68032870,8366,5325,86.9191,0.1707,0.2045,0.01,0.3226,0.0009,0.2098,0.0007,0.6218,0.8283,0.9994
TIC 68756251,6738,5178,87.4406,0.1681,0.9124,0.0399,0.1878,0.0009,0.0929,0.0005,0.4853,0.2504,0.9995
TIC 7211118,6323,4434,87.2649,0.1118,0.396,0.0155,0.2328,0.0007,0.1158,0.0004,0.5053,0.3832,0.9998
TIC 74528791,9057,7795,89.165,0.0193,0.2804,0.0042,0.2098,0.0001,0.1618,0,0.427,0.5864,0.9988
TIC 78692215,5397,4166,88.6891,0.4865,0.2348,0.0521,0.1365,0.0022,0.0884,0.0017,0.2694,0.3359,0.9983
TIC 79403459,5004,4217,74.8829,0.1422,0.3181,0.0075,0.3551,0.001,0.2025,0.0018,0.7396,0.7094,0.9987
TIC 80650858,8868,6245,86.5279,0.0683,0.1612,0.0232,0.2174,0.0005,0.1211,0.0004,0.4033,0.511,0.9995
TIC 81702112,7044,6007,82.1391,0.1509,0.3194,0.0546,0.1223,0.0034,0.1056,0.0035,0.2548,0.3695,0.9836
TIC 82459094,6810,4612,85.2285,0.2874,0.325,0.0431,0.1764,0.002,0.0615,0.0008,0.3688,0.2142,0.9953
TIC 8624617,5700,4132,86.9334,0.1577,0.3357,0.004,0.1428,0.0005,0.2868,0.0008,0.3003,0.9907,0.9998
TIC 90349611,8012,7728,87.1451,0.2373,0.6765,0.0211,0.2782,0.001,0.1703,0.0008,0.6734,0.4926,0.9991
TIC 91638523,6183,3788,84.0144,0.1288,0.3637,0.0111,0.1903,0.0014,0.0567,0.0005,0.4063,0.1919,0.9997
TIC 92902951,9183,4979,89.6461,0.3174,0.9143,0.0603,0.2174,0.0014,0.3071,0.0022,0.5622,0.8272,0.9996
TIC 94229743,4887,3325,85.103,0.1673,0.4733,0.0141,0.0777,0.0007,0.183,0.0018,0.1747,0.5784,0.9971
TIC 97486660,6126,5423,89.5683,0.0735,0.2464,0.019,0.1491,0.0002,0.0845,0.0001,0.2967,0.317,0.9995
TIC 97807414,6963,5709,79.1788,0.3966,0.4301,0.0167,0.373,0.0034,0.1214,0.0015,0.8227,0.3932,0.9974
TIC 97919621,6120,3917,84.4676,0.3987,0.612,0.0404,0.2341,0.0028,0.0969,0.0014,0.5546,0.2872,0.997
TIC 98974882,6368,3692,86.7788,0.5986,0.3934,0.0622,0.1644,0.0039,0.0686,0.0018,0.3563,0.2274,0.9987
