name,T1,T2,incl,inclerror,q,qerror,r1,r1error,r2,r2error,f1,f2,R2
TIC 200363294,5044,3275,89.648,0.2307,0.9984,0.0016,0.2306,0.0005,0.1212,0.0003,0.6084,0.32,0.9993
TIC 200363295,5278,3344,74.8112,0.1155,0.2356,0.0111,0.2126,0.0017,0.2274,0.002,0.4196,0.8635,0.9947
TIC 202601061,5475,3283,81.2007,0.2586,0.2752,0.0115,0.3088,0.002,0.1024,0.0008,0.6264,0.3729,0.9907
TIC 204497617,6347,3965,85.9278,0.374,0.2355,0.0472,0.2003,0.0031,0.093,0.0016,0.3953,0.353,0.9975
TIC 21371704,5916,4802,82.7977,0.1392,0.5664,0.0078,0.3258,0.0012,0.1383,0.0006,0.7596,0.4178,0.9997
TIC 217587300,7163,4794,89.9811,0.0309,0.7619,0.0342,0.0047,0.0001,0.0522,0.0007,0.0117,0.1467,0.9975
TIC 218210467,9146,5242,85.0617,0.3191,0.0327,0.0174,0.1604,0.0028,0.0438,0.001,0.2439,0.2963,0.9976
TIC 219173590,5815,3881,89.9857,0.0168,0.2238,0.0015,0.1576,0.0003,0.256,0.0002,0.3085,0.9858,0.9997
TIC 219699532,5920,3970,78.6868,0.3351,0.1123,0.0048,0.3589,0.0026,0.0905,0.0008,0.6308,0.4234,0.9971
TIC 219840749,6381,6134,89.8391,0.1826,0.5832,0.0081,0.3028,0.0003,0.1329,0.0003,0.7103,0.3986,0.9995
TIC 219912046,8090,3763,82.929,0.5141,0.1509,0.0105,0.2254,0.0045,0.0517,0.0012,0.4139,0.222,0.999
TIC 126945917,7471,5318,87.4559,0.1376,0.4118,0.0076,0.3271,0.0006,0.2015,0.0005,0.7154,0.66,0.9996
TIC 160065970,5758,3612,83.1717,0.4935,0.3355,0.0423,0.2116,0.0031,0.0955,0.0026,0.445,0.3299,0.9977
TIC 181862541,6469,6554,87.5067,0.1117,0.7231,0.0212,0.2464,0.0005,0.1214,0.0003,0.6051,0.3458,0.9996
TIC 220042007,9071,6162,86.4419,0.1226,0.2083,0.0114,0.3046,0.0004,0.1872,0.0004,0.5889,0.7352,0.9999
TIC 269059804,6659,3456,82.8964,0.6278,0.1676,0.0615,0.1862,0.005,0.0476,0.0015,0.3475,0.1985,0.9959
TIC 294206429,9344,6666,84.3824,0.0695,0.1507,0.0019,0.3943,0.0003,0.1814,0.0003,0.7238,0.78,0.9998
TIC 327785134,5699,4473,84.8324,0.3059,0.0898,0.0171,0.2013,0.0018,0.0787,0.0012,0.3432,0.3928,0.9974
TIC 357790008,5454,4240,85.7463,0.3963,0.964,0.034,0.2215,0.0027,0.0907,0.0011,0.5798,0.2413,0.9974
TIC 377192659,8842,6671,89.1327,0.165,0.2645,0.0685,0.2007,0.0005,0.1539,0.0003,0.4043,0.5664,0.9999
TIC 407064902,6689,3873,76.6412,0.0954,0.1354,0.0021,0.3439,0.0013,0.0827,0.0004,0.6211,0.3666,0.9996
TIC 446550991,6183,4421,86.7483,0.4775,0.3367,0.0585,0.2038,0.0022,0.1209,0.0013,0.429,0.4173,0.9994
TIC 63785934,6201,3893,81.6682,0.1196,0.3629,0.0111,0.2706,0.0013,0.0873,0.0005,0.5775,0.2956,0.9996
TIC 220430912,8868,6264,80.2999,0.0303,0.0433,0.0028,0.2949,0.0003,0.1079,0.0002,0.4611,0.6698,0.999
TIC 220521199,6529,4163,85.2243,0.1067,0.4152,0.0019,0.3792,0.0004,0.1563,0.0002,0.8307,0.5109,0.9998
TIC 221849528,8170,4577,77.761,0.0743,0.5816,0.0458,0.1481,0.0012,0.1948,0.0018,0.3471,0.5849,0.994
TIC 224293813,6407,6337,88.6095,0.0384,0.5569,0.0364,0.1358,0.0002,0.0929,0.0001,0.3156,0.2818,0.9998
TIC 228809204,6280,5109,87.5477,0.0969,0.5846,0.0141,0.2901,0.0005,0.159,0.0004,0.6809,0.4767,0.9997
TIC 235594340,6117,5109,87.8187,0.7441,0.4667,0.0581,0.203,0.0025,0.1031,0.0012,0.4551,0.3269,0.9992
TIC 235598526,4966,4080,86.3775,0.6491,0.4148,0.0389,0.3274,0.0034,0.1627,0.0019,0.717,0.5317,0.9883
TIC 236973844,9437,5462,84.7192,0.2847,0.3293,0.0426,0.1634,0.0022,0.0615,0.0013,0.3424,0.2136,0.9942
TIC 237332597,6664,3411,86.5542,0.089,0.4526,0.0219,0.1417,0.0009,0.0504,0.0004,0.3156,0.1611,0.9998
TIC 240812481,5980,3190,85.8396,0.1209,0.0739,0.0195,0.1655,0.002,0.0612,0.0008,0.2751,0.3233,0.9969
TIC 241013310,6518,4436,84.5329,0.1301,0.4102,0.0155,0.2192,0.0013,0.0893,0.0006,0.479,0.2928,0.9968
TIC 245132906,5491,4949,89.9471,0.0742,0.5762,0.0344,0.3128,0.0007,0.266,0.0008,0.7318,0.8005,0.9994
TIC 260376477,7982,3551,84.5579,0.369,0.2626,0.0245,0.1816,0.0032,0.0419,0.0009,0.3653,0.1546,0.9966
TIC 263930790,6860,6727,82.7135,0.1475,0.6372,0.0201,0.3744,0.0014,0.2058,0.0012,0.8946,0.6043,0.9998
TIC 26656583,5211,3552,87.7846,0.91,0.0682,0.0035,0.3233,0.0019,0.1919,0.0013,0.5321,1.0391,0.9971
TIC 268383780,8366,5204,88.1124,0.3531,0.2821,0.0476,0.1649,0.0016,0.0823,0.001,0.336,0.2975,0.9975
TIC 269746604,7124,5017,88.4178,0.628,0.5307,0.0548,0.2279,0.0014,0.1298,0.001,0.5243,0.3985,0.9996
TIC 270204401,9193,4875,86.5118,0.4618,0.1094,0.0478,0.1885,0.0031,0.0766,0.0015,0.33,0.3611,0.9996
TIC 28157482,6344,3904,86.5007,0.1035,0.8482,0.048,0.1294,0.0012,0.0525,0.0006,0.329,0.1439,0.9992
TIC 282051803,5957,3507,82.9797,0.1132,0.0575,0.0196,0.1823,0.0015,0.0475,0.0004,0.2941,0.2708,0.9958
TIC 283881816,8807,4658,85.728,0.6067,0.2256,0.0207,0.2499,0.0039,0.0856,0.0014,0.4897,0.329,0.9979
